code,term,term_clean,semantic_tag
325001005,Product containing precisely pentamidine isethionate 300 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely pentamidine isethionate 300 milligram/1 vial powder for conventional release solution for injection,clinical drug
325242002,Product containing precisely gliclazide 80 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely gliclazide 80 milligram/1 each conventional release oral tablet,clinical drug
325278007,Product containing precisely metformin hydrochloride 500 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely metformin hydrochloride 500 milligram/1 each conventional release oral tablet,clinical drug
325297007,Product containing precisely diazoxide 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely diazoxide 50 milligram/1 each conventional release oral tablet,clinical drug
325328008,Product containing precisely carbimazole 20 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely carbimazole 20 milligram/1 each conventional release oral tablet,clinical drug
325329000,Product containing precisely carbimazole 5 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely carbimazole 5 milligram/1 each conventional release oral tablet,clinical drug
325332002,Product containing precisely propylthiouracil 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely propylthiouracil 50 milligram/1 each conventional release oral tablet,clinical drug
325336004,Product containing precisely fludrocortisone acetate 100 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely fludrocortisone acetate 100 microgram/1 each conventional release oral tablet,clinical drug
325355004,Product containing precisely dexamethasone 500 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely dexamethasone 500 microgram/1 each conventional release oral tablet,clinical drug
325356003,Product containing precisely dexamethasone 2 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely dexamethasone 2 milligram/1 each conventional release oral tablet,clinical drug
325365005,Product containing precisely dexamethasone 100 microgram/1 milliliter conventional release oral solution (clinical drug),Product containing precisely dexamethasone 100 microgram/1 milliliter conventional release oral solution,clinical drug
325373001,Product containing precisely hydrocortisone 10 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely hydrocortisone 10 milligram/1 each conventional release oral tablet,clinical drug
325374007,Product containing precisely hydrocortisone 20 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely hydrocortisone 20 milligram/1 each conventional release oral tablet,clinical drug
325427002,Product containing precisely prednisolone 5 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely prednisolone 5 milligram/1 each conventional release oral tablet,clinical drug
325450008,Product containing precisely prednisolone 25 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely prednisolone 25 milligram/1 each conventional release oral tablet,clinical drug
325609008,Product containing precisely medroxyprogesterone acetate 5 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely medroxyprogesterone acetate 5 milligram/1 each conventional release oral tablet,clinical drug
325611004,Product containing precisely norethisterone 5 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely norethisterone 5 milligram/1 each conventional release oral tablet,clinical drug
325618005,Product containing precisely norethisterone 1 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely norethisterone 1 milligram/1 each conventional release oral tablet,clinical drug
325766009,Product containing precisely clomifene citrate 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely clomifene citrate 50 milligram/1 each conventional release oral tablet,clinical drug
325781003,Product containing pituitary follicle stimulating hormone (medicinal product),Product containing pituitary follicle stimulating hormone,medicinal product
325914009,Product containing precisely desmopressin acetate 10 microgram/1 actuation conventional release nasal spray (clinical drug),Product containing precisely desmopressin acetate 10 microgram/1 actuation conventional release nasal spray,clinical drug
326146004,Product containing precisely mifepristone 200 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely mifepristone 200 milligram/1 each conventional release oral tablet,clinical drug
326324002,Product containing precisely ethinylestradiol 30 microgram and levonorgestrel 150 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely ethinylestradiol 30 microgram and levonorgestrel 150 microgram/1 each conventional release oral tablet,clinical drug
326425002,Product containing precisely levonorgestrel 30 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely levonorgestrel 30 microgram/1 each conventional release oral tablet,clinical drug
326430003,Product containing precisely levonorgestrel 750 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely levonorgestrel 750 microgram/1 each conventional release oral tablet,clinical drug
326447002,Product containing precisely norethisterone 350 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely norethisterone 350 microgram/1 each conventional release oral tablet,clinical drug
326729009,Product containing precisely chlorambucil 2 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely chlorambucil 2 milligram/1 each conventional release oral tablet,clinical drug
326731000,Product containing precisely cyclophosphamide 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely cyclophosphamide 50 milligram/1 each conventional release oral tablet,clinical drug
326755005,Product containing precisely ifosfamide 1 gram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely ifosfamide 1 gram/1 vial powder for conventional release solution for injection,clinical drug
326756006,Product containing precisely ifosfamide 2 gram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely ifosfamide 2 gram/1 vial powder for conventional release solution for injection,clinical drug
326766003,Product containing precisely melphalan 2 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely melphalan 2 milligram/1 each conventional release oral tablet,clinical drug
326781009,Product containing precisely dactinomycin 500 microgram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely dactinomycin 500 microgram/1 vial powder for conventional release solution for injection,clinical drug
326782002,Product containing precisely bleomycin (as bleomycin sulfate) 15 unit/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely bleomycin (as bleomycin sulfate) 15 unit/1 vial powder for conventional release solution for injection,clinical drug
326788003,Product containing precisely doxorubicin hydrochloride 10 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely doxorubicin hydrochloride 10 milligram/1 vial powder for conventional release solution for injection,clinical drug
326789006,Product containing precisely doxorubicin hydrochloride 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely doxorubicin hydrochloride 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
326835000,Product containing precisely daunorubicin (as daunorubicin hydrochloride) 20 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely daunorubicin (as daunorubicin hydrochloride) 20 milligram/1 vial powder for conventional release solution for injection,clinical drug
326856003,Product containing precisely cytarabine 500 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely cytarabine 500 milligram/1 vial powder for conventional release solution for injection,clinical drug
326860000,Product containing precisely fluorouracil 50 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely fluorouracil 50 milligram/1 gram conventional release cutaneous cream,clinical drug
326873001,Product containing precisely mercaptopurine 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely mercaptopurine 50 milligram/1 each conventional release oral tablet,clinical drug
326908005,Product containing precisely tioguanine 40 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely tioguanine 40 milligram/1 each conventional release oral tablet,clinical drug
326909002,Product containing precisely gemcitabine (as gemcitabine hydrochloride) 200 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely gemcitabine (as gemcitabine hydrochloride) 200 milligram/1 vial powder for conventional release solution for injection,clinical drug
326910007,Product containing precisely gemcitabine (as gemcitabine hydrochloride) 1 gram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely gemcitabine (as gemcitabine hydrochloride) 1 gram/1 vial powder for conventional release solution for injection,clinical drug
326925007,Product containing precisely etoposide 50 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely etoposide 50 milligram/1 each conventional release oral capsule,clinical drug
326926008,Product containing precisely etoposide 100 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely etoposide 100 milligram/1 each conventional release oral capsule,clinical drug
326991007,Product containing precisely hydroxycarbamide 500 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely hydroxycarbamide 500 milligram/1 each conventional release oral capsule,clinical drug
327002004,Product containing precisely procarbazine (as procarbazine hydrochloride) 50 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely procarbazine (as procarbazine hydrochloride) 50 milligram/1 each conventional release oral capsule,clinical drug
327016009,Product containing precisely fludarabine phosphate 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely fludarabine phosphate 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
327035009,Product containing precisely oxaliplatin 50 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely oxaliplatin 50 milligram/1 vial powder for conventional release solution for injection,clinical drug
327036005,Product containing precisely oxaliplatin 100 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely oxaliplatin 100 milligram/1 vial powder for conventional release solution for injection,clinical drug
327053003,Product containing precisely mesna 400 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely mesna 400 milligram/1 each conventional release oral tablet,clinical drug
327054009,Product containing precisely mesna 600 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely mesna 600 milligram/1 each conventional release oral tablet,clinical drug
327070006,Product containing precisely azathioprine 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely azathioprine 50 milligram/1 each conventional release oral tablet,clinical drug
327082002,Product containing precisely ciclosporin 25 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely ciclosporin 25 milligram/1 each conventional release oral capsule,clinical drug
327366007,Product containing precisely bicalutamide 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely bicalutamide 50 milligram/1 each conventional release oral tablet,clinical drug
327373002,Product containing precisely anastrozole 1 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely anastrozole 1 milligram/1 each conventional release oral tablet,clinical drug
327390008,Product containing precisely tretinoin 10 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely tretinoin 10 milligram/1 each conventional release oral capsule,clinical drug
327399009,Product containing precisely trastuzumab 150 milligram/1 vial powder for conventional release solution for injection (clinical drug),Product containing precisely trastuzumab 150 milligram/1 vial powder for conventional release solution for injection,clinical drug
327438003,Product containing precisely ferrous sulfate 200 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ferrous sulfate 200 milligram/1 each conventional release oral tablet,clinical drug
327473001,Product containing precisely ferrous fumarate 305 milligram and folic acid 350 microgram/1 each conventional release oral capsule (clinical drug),Product containing precisely ferrous fumarate 305 milligram and folic acid 350 microgram/1 each conventional release oral capsule,clinical drug
327550006,Product containing precisely folic acid 5 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely folic acid 5 milligram/1 each conventional release oral tablet,clinical drug
327552003,Product containing precisely folic acid 400 microgram/1 each conventional release oral tablet (clinical drug),Product containing precisely folic acid 400 microgram/1 each conventional release oral tablet,clinical drug
328383001,Chronic liver disease (disorder),Chronic liver disease,disorder
329153007,Product containing precisely calcium carbonate 1.25 gram/1 each conventional release chewable tablet (clinical drug),Product containing precisely calcium carbonate 1.25 gram/1 each conventional release chewable tablet,clinical drug
329162009,Product containing precisely calcium carbonate 1.25 gram/1 each conventional release oral tablet (clinical drug),Product containing precisely calcium carbonate 1.25 gram/1 each conventional release oral tablet,clinical drug
329249000,Product containing precisely nicotinamide 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely nicotinamide 50 milligram/1 each conventional release oral tablet,clinical drug
329265004,Product containing precisely thiamine hydrochloride 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely thiamine hydrochloride 50 milligram/1 each conventional release oral tablet,clinical drug
329315005,Product containing precisely ascorbic acid 50 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ascorbic acid 50 milligram/1 each conventional release oral tablet,clinical drug
329366000,Product containing precisely ergocalciferol 1.25 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ergocalciferol 1.25 milligram/1 each conventional release oral tablet,clinical drug
329402002,Product containing precisely phytomenadione 10 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely phytomenadione 10 milligram/1 each conventional release oral tablet,clinical drug
329525004,Product containing precisely aspirin 300 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely aspirin 300 milligram/1 each conventional release oral tablet,clinical drug
329652003,Product containing precisely ibuprofen 200 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ibuprofen 200 milligram/1 each conventional release oral tablet,clinical drug
329653008,Product containing precisely ibuprofen 400 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ibuprofen 400 milligram/1 each conventional release oral tablet,clinical drug
329654002,Product containing precisely ibuprofen 600 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely ibuprofen 600 milligram/1 each conventional release oral tablet,clinical drug
329714006,Product containing precisely indometacin 25 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely indometacin 25 milligram/1 each conventional release oral capsule,clinical drug
329715007,Product containing precisely indometacin 50 milligram/1 each conventional release oral capsule (clinical drug),Product containing precisely indometacin 50 milligram/1 each conventional release oral capsule,clinical drug
330027003,Product containing precisely penicillamine 250 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely penicillamine 250 milligram/1 each conventional release oral tablet,clinical drug
330037008,Product containing precisely hydroxychloroquine sulfate 200 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely hydroxychloroquine sulfate 200 milligram/1 each conventional release oral tablet,clinical drug
330061001,Product containing precisely allopurinol 100 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely allopurinol 100 milligram/1 each conventional release oral tablet,clinical drug
330062008,Product containing precisely allopurinol 300 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely allopurinol 300 milligram/1 each conventional release oral tablet,clinical drug
330097005,Product containing precisely neostigmine bromide 15 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely neostigmine bromide 15 milligram/1 each conventional release oral tablet,clinical drug
330284003,Product containing precisely aciclovir 30 milligram/1 gram conventional release eye ointment (clinical drug),Product containing precisely aciclovir 30 milligram/1 gram conventional release eye ointment,clinical drug
330414007,Product containing precisely ofloxacin 3 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely ofloxacin 3 milligram/1 milliliter conventional release eye drops,clinical drug
330418005,Product containing precisely ciprofloxacin (as ciprofloxacin hydrochloride) 3 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely ciprofloxacin (as ciprofloxacin hydrochloride) 3 milligram/1 milliliter conventional release eye drops,clinical drug
330548006,Product containing precisely atropine sulfate 10 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely atropine sulfate 10 milligram/1 milliliter conventional release eye drops,clinical drug
330588001,Product containing precisely tropicamide 5 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely tropicamide 5 milligram/1 milliliter conventional release eye drops,clinical drug
330601002,Product containing precisely acetazolamide 250 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely acetazolamide 250 milligram/1 each conventional release oral tablet,clinical drug
330611009,Product containing precisely epinephrine 10 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely epinephrine 10 milligram/1 milliliter conventional release eye drops,clinical drug
330680003,Product containing precisely pilocarpine hydrochloride 20 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely pilocarpine hydrochloride 20 milligram/1 milliliter conventional release eye drops,clinical drug
330682006,Product containing precisely pilocarpine hydrochloride 40 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely pilocarpine hydrochloride 40 milligram/1 milliliter conventional release eye drops,clinical drug
330720009,Product containing precisely timolol (as timolol maleate) 2.5 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely timolol (as timolol maleate) 2.5 milligram/1 milliliter conventional release eye drops,clinical drug
330721008,Product containing precisely timolol (as timolol maleate) 5 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely timolol (as timolol maleate) 5 milligram/1 milliliter conventional release eye drops,clinical drug
330729005,Product containing precisely latanoprost 50 microgram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely latanoprost 50 microgram/1 milliliter conventional release eye drops,clinical drug
330888007,Product containing rose bengal (medicinal product),Product containing rose bengal,medicinal product
331522008,Product containing precisely urea 100 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely urea 100 milligram/1 gram conventional release cutaneous cream,clinical drug
331700003,Product containing precisely hydrocortisone acetate 10 milligram/1 gram conventional release cutaneous ointment (clinical drug),Product containing precisely hydrocortisone acetate 10 milligram/1 gram conventional release cutaneous ointment,clinical drug
332041002,Product containing precisely hydrocortisone acetate 10 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely hydrocortisone acetate 10 milligram/1 gram conventional release cutaneous cream,clinical drug
332385005,Product containing precisely benzoyl peroxide 50 milligram/1 gram conventional release cutaneous lotion (clinical drug),Product containing precisely benzoyl peroxide 50 milligram/1 gram conventional release cutaneous lotion,clinical drug
332386006,Product containing precisely benzoyl peroxide 50 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely benzoyl peroxide 50 milligram/1 gram conventional release cutaneous cream,clinical drug
332454000,Product containing precisely podophyllotoxin 5 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely podophyllotoxin 5 milligram/1 milliliter conventional release cutaneous solution,clinical drug
332459005,Product containing precisely podophyllotoxin 1.5 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely podophyllotoxin 1.5 milligram/1 gram conventional release cutaneous cream,clinical drug
332719006,Product containing precisely selenium sulfide 25 milligram/1 milliliter conventional release cutaneous shampoo (clinical drug),Product containing precisely selenium sulfide 25 milligram/1 milliliter conventional release cutaneous shampoo,clinical drug
332783001,Product containing precisely mupirocin (as mupirocin calcium) 20 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely mupirocin (as mupirocin calcium) 20 milligram/1 gram conventional release cutaneous cream,clinical drug
332784007,Product containing precisely mupirocin 20 milligram/1 gram conventional release cutaneous ointment (clinical drug),Product containing precisely mupirocin 20 milligram/1 gram conventional release cutaneous ointment,clinical drug
332908003,Product containing precisely miconazole nitrate 20 milligram/1 gram conventional release cutaneous cream (clinical drug),Product containing precisely miconazole nitrate 20 milligram/1 gram conventional release cutaneous cream,clinical drug
332982000,Uncontrollable vomiting (disorder),Uncontrollable vomiting,disorder
333201009,Product containing precisely chlorhexidine gluconate 40 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely chlorhexidine gluconate 40 milligram/1 milliliter conventional release cutaneous solution,clinical drug
333370006,Product containing precisely pyridostigmine bromide 60 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely pyridostigmine bromide 60 milligram/1 each conventional release oral tablet,clinical drug
333873003,Mycobacterium fortuitum subsp fortuitum (organism),Mycobacterium fortuitum subsp fortuitum,organism
334247005,Product containing precisely lidocaine hydrochloride 40 milligram/1 milliliter conventional release cutaneous solution (clinical drug),Product containing precisely lidocaine hydrochloride 40 milligram/1 milliliter conventional release cutaneous solution,clinical drug
334980009,Inhaler (physical object),Inhaler,physical object
337471007,"Cleft upper lip, upper jaw AND palate (disorder)","Cleft upper lip, upper jaw AND palate",disorder
337915000,Homo sapiens (organism),Homo sapiens,organism
338486003,Cheilognathouranoschisis (disorder),Cheilognathouranoschisis,disorder
339648008,Colostomy bag (physical object),Colostomy bag,physical object
342070009,Closed fracture of foot (disorder),Closed fracture of foot,disorder
343087000,Partial deafness (disorder),Partial deafness,disorder
344088002,Urostomy bag (physical object),Urostomy bag,physical object
344994008,Intraventricular pacing (procedure),Intraventricular pacing,procedure
346313005,Allergen extract vaccine (product),Allergen extract vaccine,product
346322006,Product containing anion exchange resin (product),Product containing anion exchange resin,product
346364006,Cat allergy vaccine (product),Cat allergy vaccine,product
346405008,Dog allergy vaccine (product),Dog allergy vaccine,product
346441008,Product containing fish derived omega 3 fatty acid (medicinal product),Product containing fish derived omega 3 fatty acid,medicinal product
346447007,Fresh frozen plasma (product),Fresh frozen plasma,product
346467003,Horse dander allergy vaccine (product),Horse dander allergy vaccine,product
346468008,House dust allergy vaccine (product),House dust allergy vaccine,product
346469000,House mite allergy vaccine (product),House mite allergy vaccine,product
346553009,Product containing lidocaine and prilocaine (medicinal product),Product containing lidocaine and prilocaine,medicinal product
346672000,Product containing precisely isoniazid 50 milligram and pyrazinamide 300 milligram and rifampicin 120 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely isoniazid 50 milligram and pyrazinamide 300 milligram and rifampicin 120 milligram/1 each conventional release oral tablet,clinical drug
346822000,Product containing precisely folic acid 400 microgram/1 each conventional release oral capsule (clinical drug),Product containing precisely folic acid 400 microgram/1 each conventional release oral capsule,clinical drug
347097005,Product containing precisely atropine sulfate 5 milligram/1 milliliter conventional release eye drops (clinical drug),Product containing precisely atropine sulfate 5 milligram/1 milliliter conventional release eye drops,clinical drug
349358000,Radiopharmaceuticals (product),Radiopharmaceuticals,product
350086004,Product containing fluorescein stain (medicinal product),Product containing fluorescein stain,medicinal product
350162003,Product containing amoxicillin in oral dose form (medicinal product form),Product containing amoxicillin in oral dose form,medicinal product form
350163008,Product containing amoxicillin in parenteral dose form (medicinal product form),Product containing amoxicillin in parenteral dose form,medicinal product form
352818000,Tonic-clonic epilepsy (disorder),Tonic-clonic epilepsy,disorder
353295004,Graves' disease (disorder),Graves' disease,disorder
353842007,Product containing thallium-201 (medicinal product),Product containing thallium-201,medicinal product
353857000,Product containing precisely chloroquine sulfate 200 milligram/1 each conventional release oral tablet (clinical drug),Product containing precisely chloroquine sulfate 200 milligram/1 each conventional release oral tablet,clinical drug
353903006,Product containing iopromide (medicinal product),Product containing iopromide,medicinal product
353912008,Product containing iothalamate (medicinal product),Product containing iothalamate,medicinal product
353924001,Product containing ioxaglate (medicinal product),Product containing ioxaglate,medicinal product
353946009,Product containing gadoteridol (medicinal product),Product containing gadoteridol,medicinal product
353962003,Product containing iodixanol (medicinal product),Product containing iodixanol,medicinal product
354064008,Product containing methylthioninium chloride (medicinal product),Product containing methylthioninium chloride,medicinal product
354088005,Product containing gadodiamide (medicinal product),Product containing gadodiamide,medicinal product
354094002,Product containing metrizoate (medicinal product),Product containing metrizoate,medicinal product
354737001,Prolapse of vaginal walls without uterine prolapse (disorder),Prolapse of vaginal walls without uterine prolapse,disorder
356671000,Product containing iomeprol (medicinal product),Product containing iomeprol,medicinal product
356862006,Product containing lercanidipine (medicinal product),Product containing lercanidipine,medicinal product
359532006,Rotator cuff impingement syndrome (disorder),Rotator cuff impingement syndrome,disorder
359551000,Angioplasty of vein (procedure),Angioplasty of vein,procedure
359557001,Disorder of artery (disorder),Disorder of artery,disorder
359608009,"Implantation of cochlear prosthetic device, electrode and receiver (procedure)","Implantation of cochlear prosthetic device, electrode and receiver",procedure
359609001,Acute non-suppurative otitis media (disorder),Acute non-suppurative otitis media,disorder
359611005,Neuropathy with neurologic complication due to diabetes mellitus (disorder),Neuropathy with neurologic complication due to diabetes mellitus,disorder
359612003,Implantation of cochlear prosthetic device (procedure),Implantation of cochlear prosthetic device,procedure
359623004,Total lobectomy of lung (procedure),Total lobectomy of lung,procedure
359642000,Diabetes mellitus type 2 in nonobese (disorder),Diabetes mellitus type 2 in nonobese,disorder
359646002,Neonatal disseminated listeriosis (disorder),Neonatal disseminated listeriosis,disorder
359648001,"Acute myeloid leukemia with maturation, FAB M2 (disorder)","Acute myeloid leukemia with maturation, FAB M2",disorder
359649009,Weight reduction diet (finding),Weight reduction diet,finding
359746009,Patient's condition stable (finding),Patient's condition stable,finding
359750002,Stereoscopic acuity (observable entity),Stereoscopic acuity,observable entity
359789008,Takayasu's disease (disorder),Takayasu's disease,disorder
359820003,Closed fracture of neck of femur (disorder),Closed fracture of neck of femur,disorder
359824007,Incomplete anencephaly (disorder),Incomplete anencephaly,disorder
359837005,Ulnar neuropathy (disorder),Ulnar neuropathy,disorder
359901001,Neuroplasty and transposition of median nerve at carpal tunnel (procedure),Neuroplasty and transposition of median nerve at carpal tunnel,procedure
359908007,Repair of paraesophageal diaphragmatic hernia (procedure),Repair of paraesophageal diaphragmatic hernia,procedure
359943008,Partial breech delivery (procedure),Partial breech delivery,procedure
360038009,Gluing - action (qualifier value),Gluing - action,qualifier value
360041000,Implanted drug delivery system (physical object),Implanted drug delivery system,physical object
360046005,Arterial stent (physical object),Arterial stent,physical object
360058005,Intraventricular pump (physical object),Intraventricular pump,physical object
360063009,Prosthetic cardiac annuloplasty ring (physical object),Prosthetic cardiac annuloplasty ring,physical object
360066001,Left ventricular assist device (physical object),Left ventricular assist device,physical object
360070009,Laryngeal implant (physical object),Laryngeal implant,physical object
360100007,Tracheal stent (physical object),Tracheal stent,physical object
360103009,Intracochlear prosthesis (physical object),Intracochlear prosthesis,physical object
360104003,Extracochlear prosthesis (physical object),Extracochlear prosthesis,physical object
360123005,Biliary stent (physical object),Biliary stent,physical object
360129009,Cardiac pacemaker lead (physical object),Cardiac pacemaker lead,physical object
360145006,Bone prosthesis (physical object),Bone prosthesis,physical object
360156006,Screening - procedure intent (qualifier value),Screening - procedure intent,qualifier value
360271000,Prophylaxis - procedure intent (qualifier value),Prophylaxis - procedure intent,qualifier value
360329004,Polyethylene terephthalate graft (physical object),Polyethylene terephthalate graft,physical object
360339005,Persistent hyperinsulinemic hypoglycemia of infancy (disorder),Persistent hyperinsulinemic hypoglycemia of infancy,disorder
360371003,Acute cardiac pulmonary edema (disorder),Acute cardiac pulmonary edema,disorder
360450007,Strain of neck muscle (disorder),Strain of neck muscle,disorder
360481003,Common atrioventricular canal (disorder),Common atrioventricular canal,disorder
360484006,Absenteeism at work (finding),Absenteeism at work,finding
360546002,Hypoglycemic shock (disorder),Hypoglycemic shock,disorder
360568007,Structure of corticospinal tract in brainstem (body structure),Structure of corticospinal tract in brainstem,body structure
360592004,Systemic venous structure (body structure),Systemic venous structure,body structure
360706005,Onanism (finding),Onanism,finding
360875003,Moving to new residence (finding),Moving to new residence,finding
360885002,Change of residence status (finding),Change of residence status,finding
360890004,Intolerant ex-smoker (finding),Intolerant ex-smoker,finding
360900008,Aggressive ex-smoker (finding),Aggressive ex-smoker,finding
360918006,Aggressive non-smoker (finding),Aggressive non-smoker,finding
360929005,Intolerant non-smoker (finding),Intolerant non-smoker,finding
360955006,Structure of region of nasopharynx (body structure),Structure of region of nasopharynx,body structure
360992006,Structure of vesicular lymph node (body structure),Structure of vesicular lymph node,body structure
360993001,Structure of lacunar lymph node (body structure),Structure of lacunar lymph node,body structure
361049005,Habitual drug user (finding),Habitual drug user,finding
361055000,Misuses drugs (finding),Misuses drugs,finding
361063004,Lack of education (finding),Lack of education,finding
361078006,Structure of area of internal auditory canal (body structure),Structure of area of internal auditory canal,body structure
361097006,Entire blood vessel (body structure),Entire blood vessel,body structure
361123003,Psychomotor epilepsy (disorder),Psychomotor epilepsy,disorder
361133006,Arteriosclerosis obliterans (disorder),Arteriosclerosis obliterans,disorder
361137007,Irregular heart beat (finding),Irregular heart beat,finding
361209006,Dermite ocre of Favre (disorder),Dermite ocre of Favre,disorder
361213004,Congenital absence of pelvis and lower limb (disorder),Congenital absence of pelvis and lower limb,disorder
361222003,Wertheim-Meigs abdominal hysterectomy (procedure),Wertheim-Meigs abdominal hysterectomy,procedure
361223008,Wertheim operation (procedure),Wertheim operation,procedure
361235007,Isolation of infected patient (procedure),Isolation of infected patient,procedure
361289009,Entire wrist region (body structure),Entire wrist region,body structure
361593004,Entire cerebellar cortex (body structure),Entire cerebellar cortex,body structure
361774004,Entire coccygeal vertebra (body structure),Entire coccygeal vertebra,body structure
361832004,Entire atlantoaxial joint (body structure),Entire atlantoaxial joint,body structure
362037006,Entire right coronary artery (body structure),Entire right coronary artery,body structure
362040006,Entire carotid artery (body structure),Entire carotid artery,body structure
362047009,Entire circle of Willis (body structure),Entire circle of Willis,body structure
362072009,Saphenous vein structure (body structure),Saphenous vein structure,body structure
362315005,Entire inferior horn of lateral ventricle (body structure),Entire inferior horn of lateral ventricle,body structure
362502000,Entire right eye (body structure),Entire right eye,body structure
